name,link,min_salary,max_salary,currency,employer,source
Водитель с личным грузовым автомобилем,https://hh.ru/vacancy/47068628?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,160 000,195 000,руб.,ООО ГрузВоз,hh.ru
Семейный водитель / личный водитель,https://hh.ru/vacancy/47716528?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,60 000,70 000,руб.,ТЦ Электронный рай,hh.ru
Водитель-экспедитор категории CЕ / С,https://hh.ru/vacancy/47668409?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90 000,115 000,руб.,ООО Альянс,hh.ru
Водитель-экспедитор со своим авто,https://hh.ru/vacancy/47727621?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,110 000,135 000,руб.,Детский магазин Detimport,hh.ru
Водитель курьер на своем автомобиле,https://hh.ru/vacancy/47639131?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,80 000,120 000,руб.,ООО Фундучок,hh.ru
Водитель с автомобилем,https://hh.ru/vacancy/47720403?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,,,,АО ФТК,hh.ru
Водитель-экспедитор,https://hh.ru/vacancy/47478885?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,100 000,200 000,руб.,ЛЮСТРОН,hh.ru
Водитель-экспедитор категории В,https://hh.ru/vacancy/47720188?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,50 000,50 000,руб.,ООО BTI,hh.ru
Водитель-экспедитор 14/14,https://hh.ru/vacancy/45897249?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90 000,,руб.,Перекресток Впрок,hh.ru
Водитель-экспедитор на автомобиль компании,https://hh.ru/vacancy/47582874?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,70 000,85 000,руб.,ООО ТД ЛФБ,hh.ru
Персональный водитель,https://hh.ru/vacancy/47452941?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,,,,Цветков Сергей Викторович,hh.ru
Водитель с личным автомобилем,https://hh.ru/vacancy/46998680?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,100 000,,руб.,i'way,hh.ru
Водитель-экспедитор категории В на автомобиль компании,https://hh.ru/vacancy/47681280?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,66 900,66 900,руб.,Iron Mountain (ОСГ Рекордз Менеджмент),hh.ru
Водитель-экспедитор,https://hh.ru/vacancy/37633813?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,80 000,110 000,руб.,Деловые Линии,hh.ru
"Водитель категории С-Е в международную транспортную компанию (Польша, Варшава)",https://hh.ru/vacancy/47383374?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,1 800,2 100,EUR,ООО Full-time| Immigration company,hh.ru
Водитель,https://hh.ru/vacancy/47479727?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,46 000,,руб.,ExpAs,hh.ru
Водитель-экспедитор категории Е,https://hh.ru/vacancy/47026489?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,120 000,150 000,руб.,ООО РТЭ,hh.ru
Водитель-экспедитор,https://hh.ru/vacancy/43401582?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,95 000,125 000,руб.,ООО ДАМТРАНС,hh.ru
Водитель с грузовым автомобилем,https://hh.ru/vacancy/46908700?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,240 000,240 000,руб.,JCat.ru,hh.ru
Водитель,https://hh.ru/vacancy/47631353?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,50 000,,руб.,ООО ФРИССО,hh.ru
"Водитель-экспедитор со своим автомобилем 1,5 тонн",https://hh.ru/vacancy/47724503?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,180 000,230 000,руб.,ООО Вектор-М,hh.ru
Водитель (прививки не нужны),https://hh.ru/vacancy/47592319?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,60 000,85 000,руб.,ООО С-Ворк,hh.ru
"Водитель категории ""С""",https://hh.ru/vacancy/47361540?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,70 000,100 000,руб.,ИП Дозоров Владимир Анатольевич,hh.ru
Водитель,https://hh.ru/vacancy/47319625?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,55 000,70 000,руб.,Автобаза воинской части,hh.ru
